"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
1;2;3;4;5;6;7;8
1;1-я Курская ул 1 ;32;1256,6;1;40,2;3,20;14
2;1-я Курская ул 14 ;4;112,7;1;24;52,53;4
3;1-я Курская ул 14 ;;35,2;1;35,2;;3
4;1-я Курская ул 29 ;3;170,2;3;170,2;100,00;1,3,6,
5;1-я Курская ул 44 ;1;34,5;1;34,5;100,00;2
6;1-я Курская ул 44 А;1;36,1;0;0;0,00;
7;1-я Курская ул 44 Б;1;34,5;0;0;0,00;
8;1-я Курская ул 46 ;7;149,9;0;0;0,00;
9;1-я Курская ул 54 ;318;17994,3;2;128,8;0,93;201, 357
10;1-я Курская ул 54 ;;;1;38,8;;181
11;1-я Курская ул 55 ;32;1267;0;0;0,00;
12;1-я Курская ул 72 ;216;11636,2;0;0;0,00;
13;1-я Курская ул 88 ;23;630,9;5;138,9;37,17;21,27,28,31,32,
14;1-я Курская ул 88 ;;;1;29;;29
15;1-я Курская ул 88 ;;;1;25,4;;30
16;1-я Курская ул 88 ;;;1;14,4;;10
17;1-я Курская ул 88 ;;;1;26,8;;16
18;1-я Курская ул 88 ;14;462,6;6;162,3;42,41;42,43,44,45,46,47,
19;1-я Курская ул 88 ;;;1;24,8;;39
20;1-я Курская ул 88 ;;;1;9,1;;40(1/2)
21;1-я Курская ул 88 ;1;37,9;1;37,9;100,00;7
22;1-я Курская ул 99 А;24;759,9;8;234;43,89;3,8,9,13,15,22,24,26,
23;1-я Курская ул 99 А;;;1;33,8;;16
24;1-я Курская ул 99а;;;1;28,1;;27
25;1-я Курская ул 99а;;;1;37,6;;10
26;1-я Посадская ул 16 ;18;601,3;1;20,1;3,84;21
27;1-я Посадская ул 17 ;24;816,8;3;113,1;13,85;9,27,28,
28;1-я Посадская ул 32 ;3;73,9;1;18,1;24,49;4,
29;1-я Посадская ул 35 ;7;167,9;2;52,1;31,03;1,7,
30;1-я Посадская ул 4/6 ;9;289,6;7;222,1;76,69;15,15А,19,21,22А,22,23,
31;1-я Посадская ул 41 ;59;2566;2;85,6;3,34;2,10,
32;1-я Посадская ул 44 ;7;229,6;2;62;27,00;19,19.1,
33;1-я Посадская ул 50 ;60;2592,1;5;232,2;8,96;4,9,23,28,47,
34;1-я Пушкарная ул 14 ;13;398,7;2;67,7;105,09;2,11,
35;1-я Пушкарная ул 14 ;;;1;33,7;;5
36;1-я Пушкарная ул 14 ;;;1;17,4;;12
37;1-я Пушкарная ул 14 ;;;1;60,8;;13-14(24/61)
38;1-я Пушкарная ул 14 ;;;1;33,2;;4
39;1-я Пушкарная ул 14 ;;;1;68;;9
40;1-я Пушкарная ул 14 ;;;1;60,8;;13-14(37/61)
41;1-я Пушкарная ул 14 ;;;1;25,7;;15
42;1-я Пушкарная ул 14 ;;;1;25,8;;16
43;1-я Пушкарная ул 14 ;;;1;25,9;;17
44;1-я Пушкарная ул 18 ;8;323,8;0;0;0,00;
45;1-я Пушкарная ул 33 ;3;103,3;2;60,1;58,18;2,3,
46;1-я Пушкарная ул 5 ;1;18,7;0;0;0,00;
47;1-я Пушкарная ул 51 ;1;14,4;0;0;0,00;
48;1-я Пушкарная ул 52;1;342,5;1;342,5;100,00;
49;1-я Пушкарная ул 6 ;3;185;0;0;0,00;
50;1-я Пушкарная ул 60 ;4;132,7;0;0;0,00;
51;1-я Пушкарная ул 62 ;5;162,7;1;32,2;19,79;6,
52;1-я Пушкарная ул 71 В;15;371,7;0;0;0,00;
53;1-я Пушкарная ул 71в;1;33,2;1;33,2;0,00;2
54;1-я Пушкарная ул 71в;1;29,3;1;29,3;0,00;4
55;1-я Пушкарная ул 71в;1;45,4;1;45,4;0,00;5
56;1-я Пушкарная ул 71в;1;44,3;1;44,3;0,00;6
57;1-я Пушкарная ул 71в;1;29,4;1;29,4;0,00;9 (специализированный жилищный фонд для детей-сирот)
58;1-я Пушкарная ул 71в;1;29,2;1;29,2;0,00;10 (специализированный жилищный фонд для детей-сирот)
59;1-я Пушкарная ул 71в;1;33,2;1;33,2;0,00;14 (специализированный жилищный фонд для детей-сирот)
60;1-я Пушкарная ул 71в;1;59,3;1;59,3;0,00;19
61;1-я Пушкарная ул 71в;1;33,2;1;33,2;0,00;20
62;1-я Пушкарная ул 71в;1;44,4;1;44,4;0,00;24
63;1-я Пушкарная ул 71в;1;33,2;1;33,2;0,00;8 (специализированный жилищный фонд для детей-сирот)
64;1-я Пушкарная ул 71в;1;29,2;1;29,2;0,00;15 (специализированный жилищный фонд для детей-сирот)
65;1-я Пушкарная ул 71в;1;29,2;1;29,2;0,00;16 (специализированный жилищный фонд для детей-сирот)
66;1-я Пушкарная ул 71в;1;29,2;1;29,2;0,00;21
67;1-я Пушкарная ул 71в;1;29,2;1;29,2;0,00;22
68;1-я Пушкарная ул 71в;1;45,4;1;45,4;0,00;23
69;1-я Пушкарная ул 71в;1;59,5;1;59,5;0,00;7
70;1-я Пушкарная ул 8 ;10;281,1;5;147,7;102,29;5.7,8,10,11,11А,
71;1-я Пушкарная ул 8 ;;;1;18,1;;9а,
72;1-я Пушкарная ул 8 ;;;1;38,8;;9
73;1-я Пушкарная ул 8 ;;;1;48,9;;1
74;1-я Пушкарная ул 8 ;;;1;16,3;;2
75;1-я Пушкарная ул 8 ;;;1;20,6;;4
76;2-я  Курская ул 13 ;2;106,8;1;62,7;58,71;2,
77;2-я  Курская ул 14 ;8;215,2;4;95,3;44,28;5, 6, 7.1, 8
78;2-я Курская ул 2 ;40;1780;2;98,2;5,52;1,21
79;2-я Курская ул 21 ;15;387,9;5;136,8;35,27;1, 2, 5, 6, 19
80;2-я Курская ул 21 Б;4;99,8;3;84,2;84,37;1., 1, 4
81;2-я Курская ул 26 ;4;141,7;1;12,2;34,72;2,
82;2-я Курская ул 26 ;;;1;37;;3
83;2-я Курская ул 32 ;108;5898,9;6;344;5,83;37, 44, 56, 59, 74, 76
84;2-я Курская ул 34 ;119;6558,5;2;106,9;2,21;59, 75
85;2-я Курская ул 34 ;;38,3;1;38,3;;86 (специализированный жилищный фонд для детей-сирот)
86;2-я Курская ул 52 ;290;16027,4;7;444,4;2,77;80, 95, 101, 205, 212, 237, 242
87;2-я Курская ул 54 ;108;5375,7;2;96,6;1,80;68, 81
88;2-я Курская ул 56 ;65;2171,8;1;36,9;1,70;17
89;2-я Курская ул 57 ;24;962,3;1;42,7;4,44;2,
90;2-я Курская ул 61 ;107;5878,2;3;183,9;3,13;8, 52, 79
91;2-я Курская ул 63 ;75;3904,2;8;379,9;9,73;1, 4, 4.1, 13, 25, 34, 42, 69
92;2-я Курская ул 88 ;22;571;7;168,8;43,63;3,4,9,11,24,31,32,
93;2-я Курская ул 88 ;;;1;37,5;;33,
94;2-я Курская ул 88 ;;;1;17,9;;25
95;2-я Курская ул 88 ;;;1;24,9;;6
96;2-я Посадская ул 11;1;21,5;1;21,5;0,00;1
97;2-я Посадская ул 11;1;53,9;0;0;0,00;
98;2-я Посадская ул 14 ;4;145,2;0;0;0,00;
99;2-я Посадская ул 14 ;4;103,9;0;0;0,00;
100;2-я Посадская ул 14 ;3;109,1;0;0;0,00;
101;2-я Посадская ул 16 ;4;147,5;0;0;0,00;
102;2-я Посадская ул 17 ;5;117,1;3;77;65,76;1,4,5,
103;2-я Посадская ул 2 ;87;6615,4;0;0;0,00;
104;2-я Посадская ул 22 ;5;248;1;43;17,34;1,
105;2-я Пушкарная ул 18 ;16;537,7;1;28,6;5,32;13,
106;2-я Пушкарная ул 25 ;4;112,2;2;53,8;47,95;2, 8
107;2-я Пушкарная ул 44 ;7;174;4;126,2;72,53;1,2,5,12,
108;2-я Пушкарная ул 8 ;3;157,1;0;0;0,00;
109;3-я Курская ул 12 ;6;196,3;2;79,4;49,67;3,7,
110;3-я Курская ул 12 ;;18,1;1;18,1;;4/1
111;3-я Курская ул 29 ;5;149,9;4;122,7;81,85;10,11,13,15,
112;3-я Курская ул 31 ;4;126,9;2;57,5;45,31;3, 9
113;3-я Курская ул 33 ;18;518;6;223,9;43,22;2, 7, 9, 9.1, 11, 17
114;3-я Курская ул 35 ;146;7896,2;4;259,6;3,29;66, 68, 122, 145
115;3-я Курская ул 52 ;96;5287,8;5;260;4,92;17, 43, 50, 68, 86
116;3-я Курская ул 53 ;144;7782,2;7;396,3;5,09;84, 114, 118, 133, 135, 139, 141
117;3-я Курская ул 85 А;8;273,1;1;37,8;13,84;2,
118;4-я Курская ул 13 ;2;106,3;0;0;0,00;
119;4-я Курская ул 15 ;1;39;0;0;0,00;
120;4-я Курская ул 2 ;122;4996,9;8;324,6;6,50;10, 30, 39, 41, 42, 89 (специализированный служебный жилищный фонд), 92, 122
121;4-я Курская ул 21 ;2;86,2;1;42,9;49,77;2,
122;4-я Курская ул 23 ;12;321,2;4;102,09;31,78;5, 7, 9, 10
123;4-я Курская ул 29 ;5;145,6;5;145,6;100,00;1,2,3,4,5,
124;4-я Курская ул 31 ;196;10559,5;0;0;0,00;
125;4-я Курская ул 42а;17;729,4;4;90,6;75,23;2.3.,12,23,27,
126;4-я Курская ул 42а;;;1;20,1;;4(20/50),
127;4-я Курская ул 42а;;;1;39,4;;13,14,
128;4-я Курская ул 42а;;;1;59,7;;30,31,32,
129;4-я Курская ул 42а;;;1;50,3;;4(15/50),
130;4-я Курская ул 42а;;;1;15;;16,
131;4-я Курская ул 42а;;;1;14,5;;к.22,
132;4-я Курская ул 42а;1;;1;44,6;;10,
133;4-я Курская ул 42а;;;1;74,2;;18,20,21,
134;4-я Курская ул 42а;;;1;30,3;;5,15,
135;4-я Курская ул 42а;1;;1;15;;к.19,
136;4-я Курская ул 42а;;;1;50,3;;4(15/50)
137;4-я Курская ул 42а;1;;1;9,7;;к.34лит.Б
138;4-я Курская ул 42а;1;;1;14,8;;28
139;4-я Курская ул 42а;1;;1;20,2;;28а
140;4-я Курская ул 42г;8;376,8;0;0;0,00;снесен
141;4-я Курская ул 42д;9;337,4;0;0;0,00;снесен
142;4-я Курская ул 42е;8;376,6;0;0;0,00;снесен
143;4-я Курская ул 42ж;8;383;0;0;0,00;снесен
144;4-я Курская ул 59 ;1;6,8;1;6,8;100,00;2,
145;4-я Курская ул 59 А;3;55,8;0;0;0,00;
146;4-я Курская ул 59 Б;2;37,3;0;0;0,00;
147;4-я Курская ул 64 ;3;180,2;0;0;0,00;
148;4-я Курская ул 8 ;218;11944,2;9;543,7;4,55;29, 33, 38, 69, 93, 95, 128, 136, 170
149;5 Августа ул 19 ;96;4210,3;5;274,7;6,52;8, 13, 35, 38, 74
150;5 Августа ул 21 ;71;3158;9;398,6;12,62;2,8,11,29,37,43,55,62,69,
151;5 Августа ул 48 ;217;11850,5;6;329,3;2,78;40,104,110,140,143,175,
152;5 Августа ул 50 ;178;9665,4;12;664,8;6,88;4, 60, 71, 72, 100, 106, 107, 119, 120, 123, 136, 166
153;5 Августа ул 66 ;79;1180,6;8;97,9;17,66;21, 40, 50, 51, 62, 66, 67, 69
154;5 Августа ул 66 ;;55,3;1;55,3;;1(45/87),
155;5 Августа ул 66 ;;55,3;1;55,3;;2а
156;5-й Орловской стрелковой дивиз 10 ;1;61,3;1;61,3;0,00;33,
157;5-й Орловской стрелковой дивиз 10 ;1;36;1;36;0,00;54,
158;5-й Орловской стрелковой дивиз 10 ;1;61,52;1;61,52;0,00;60,
159;5-й Орловской стрелковой дивиз 10 ;1;61;1;61;0,00;177,
160;5-й Орловской стрелковой дивиз 10 ;1;71,5;1;71,5;0,00;58,
161;5-й Орловской стрелковой дивиз 10 ;1;71,4;1;71,4;0,00;123,
162;5-й Орловской стрелковой дивиз 10 ;1;35,8;1;35,8;0,00;150,
163;5-й Орловской стрелковой дивиз 10 ;1;44,8;1;44,8;0,00;56,
164;5-й Орловской стрелковой дивиз 10 ;1;71,3;1;71,3;0,00;82,
165;5-й Орловской стрелковой дивиз 10 ;2;71;2;71;0,00;111,111.,
166;5-й Орловской стрелковой дивиз 10 ;1;71,2;1;71,2;0,00;115,
167;5-й Орловской стрелковой дивиз 10 ;1;40,6;1;40,6;0,00;164,
168;5-й Орловской стрелковой дивиз 10 ;1;36,1;1;36,1;0,00;6,
169;5-й Орловской стрелковой дивиз 10 ;1;36;1;36;0,00;43,
170;5-й Орловской стрелковой дивиз 10 ;1;61,3;1;61,3;0,00;76,
171;5-й Орловской стрелковой дивиз 10 ;1;61,5;1;61,5;0,00;84,
172;5-й Орловской стрелковой дивиз 10 ;1;61;1;61;0,00;112,
173;5-й Орловской стрелковой дивиз 10 ;1;61,1;1;61,1;0,00;116,
174;5-й Орловской стрелковой дивиз 10 ;1;61,2;1;61,2;0,00;124,
175;5-й Орловской стрелковой дивиз 10 ;1;61,3;1;61,3;0,00;141,
176;5-й Орловской стрелковой дивиз 10 ;1;61,2;1;61,2;0,00;159,
177;5-й Орловской стрелковой дивиз 10 ;1;61,2;1;61,2;0,00;165,
178;5-й Орловской стрелковой дивиз 10 ;1;35,8;1;35,8;0,00;169,
179;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;160,
180;5-й Орловской стрелковой дивиз 12 ;1;37,7;1;37,7;0,00;326,
181;5-й Орловской стрелковой дивиз 12 ;1;37,7;1;37,7;0,00;278,
182;5-й Орловской стрелковой дивиз 12 ;1;37,2;1;37,2;0,00;224,
183;5-й Орловской стрелковой дивиз 12 ;1;35,5;1;35,5;0,00;209,
184;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;214,
185;5-й Орловской стрелковой дивиз 12 ;1;35,3;1;35,3;0,00;215,
186;5-й Орловской стрелковой дивиз 12 ;1;35,3;1;35,3;0,00;245,
187;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;250,
188;5-й Орловской стрелковой дивиз 12 ;1;35,5;1;35,5;0,00;203,
189;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;172,
190;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;167,
191;5-й Орловской стрелковой дивиз 12 ;1;35,7;1;35,7;0,00;166,
192;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;161,
193;5-й Орловской стрелковой дивиз 12 ;1;71,3;1;71,3;0,00;33,
194;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;259,
195;5-й Орловской стрелковой дивиз 12 ;1;60,9;1;60,9;0,00;271,
196;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;274,
197;5-й Орловской стрелковой дивиз 12 ;1;61,2;1;61,2;0,00;295,
198;5-й Орловской стрелковой дивиз 12 ;1;61,4;1;61,4;0,00;301,
199;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;304,
200;5-й Орловской стрелковой дивиз 12 ;1;35,7;1;35,7;0,00;311,
201;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;322,
202;5-й Орловской стрелковой дивиз 12 ;1;35,6;1;35,6;0,00;328,
203;5-й Орловской стрелковой дивиз 12 ;1;71;1;71;0,00;37,
204;5-й Орловской стрелковой дивиз 12 ;1;44,7;1;44,7;0,00;38,
205;5-й Орловской стрелковой дивиз 12 ;1;61,3;1;61,3;0,00;54,
206;5-й Орловской стрелковой дивиз 12 ;1;61;1;61;0,00;66,
207;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;70,
208;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;121,
209;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;145,
210;5-й Орловской стрелковой дивиз 12 ;1;61;1;61;0,00;151,
211;5-й Орловской стрелковой дивиз 12 ;1;61,2;1;61,2;0,00;163,
212;5-й Орловской стрелковой дивиз 12 ;1;61;1;61;0,00;175,
213;5-й Орловской стрелковой дивиз 12 ;1;61;1;61;0,00;193,
214;5-й Орловской стрелковой дивиз 12 ;1;60,9;1;60,9;0,00;205,
215;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;211,
216;5-й Орловской стрелковой дивиз 12 ;1;61,1;1;61,1;0,00;217,
217;5-й Орловской стрелковой дивиз 12 ;1;35,5;1;35,5;0,00;257,
218;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;262,
219;5-й Орловской стрелковой дивиз 12 ;1;35,4;1;35,4;0,00;269,
220;5-й Орловской стрелковой дивиз 14 ;1;75,2;1;75,2;0,00;76,
221;5-й Орловской стрелковой дивиз 14 ;1;75,1;1;75,1;0,00;157,
222;5-й Орловской стрелковой дивиз 14 ;1;75;1;75;0,00;108,
223;5-й Орловской стрелковой дивиз 14 ;1;74,8;1;74,8;0,00;33,
224;5-й Орловской стрелковой дивиз 14 ;1;74,7;1;74,7;0,00;186,
225;5-й Орловской стрелковой дивиз 16 ;1;35,6;1;35,6;0,00;109,
226;5-й Орловской стрелковой дивиз 16 ;1;35,7;1;35,7;0,00;55,
227;5-й Орловской стрелковой дивиз 16 ;1;35,7;1;35,7;0,00;114,
228;5-й Орловской стрелковой дивиз 16 ;1;35,7;1;35,7;0,00;163,
229;5-й Орловской стрелковой дивиз 18 ;1;59,7;1;59,7;0,00;99,
230;5-й Орловской стрелковой дивиз 18 ;1;59,8;1;59,8;0,00;63,
231;5-й Орловской стрелковой дивиз 18 ;1;60,9;1;60,9;0,00;3,
232;5-й Орловской стрелковой дивиз 18 ;1;59,7;1;59,7;0,00;135,
233;5-й Орловской стрелковой дивиз 18 ;1;60;1;60;0,00;117,
234;5-й Орловской стрелковой дивиз 18 ;1;35,3;1;35,3;0,00;13,
235;5-й Орловской стрелковой дивиз 18 ;1;59,6;1;59,6;0,00;147,
236;5-й Орловской стрелковой дивиз 18 ;1;35,5;1;35,5;0,00;114
237;5-й Орловской стрелковой дивиз 20 ;1;61,1;1;61,1;0,00;10,
238;5-й Орловской стрелковой дивиз 20 ;1;60,9;1;60,9;0,00;54,
239;5-й Орловской стрелковой дивиз 20 ;1;61,2;1;61,2;0,00;142,
240;5-й Орловской стрелковой дивиз 20 ;1;60,9;1;60,9;0,00;34,
241;5-й Орловской стрелковой дивиз 20 ;1;74,9;1;74,9;0,00;29,
242;5-й Орловской стрелковой дивиз 20 ;1;75,2;1;75,2;0,00;1,
243;5-й Орловской стрелковой дивиз 20 ;1;75,1;1;75,1;0,00;137,
244;5-й Орловской стрелковой дивиз 20 ;1;60,9;1;60,9;0,00;70,
245;5-й Орловской стрелковой дивиз 20 ;1;74,8;1;52,3;0,00;40(2ком)
246;5-й Орловской стрелковой дивиз 20 ;1;61,1;1;61,1;0,00;110
247;5-й Орловской стрелковой дивиз 20 ;1;74,9;1;74,9;0,00;141
248;5-й Орловской стрелковой дивиз 4;1;37,4;1;37,4;0,00;3
249;5-й Орловской стрелковой дивиз 6 ;1;37,2;1;37,2;0,00;31,
250;5-й Орловской стрелковой дивиз 8 ;1;35,7;1;35,7;0,00;163,
251;5-й Орловской стрелковой дивиз 8 ;1;35,6;1;35,6;0,00;109,
252;5-й Орловской стрелковой дивиз 8 ;1;35,7;1;35,7;0,00;114,
253;5-й Орловской стрелковой дивиз 8 ;1;37,2;1;37,2;0,00;166,
254;5-й Орловской стрелковой дивиз 8 ;1;37,4;1;37,4;0,00;208,
255;5-й Орловской стрелковой дивиз 8 ;1;37;1;37;0,00;154,
256;5-й Орловской стрелковой дивиз 8 ;1;35,7;1;35,7;0,00;55,
257;5-й Орловской стрелковой дивиз 8 ;1;36;1;36;0,00;168,
258;5-й Орловской стрелковой дивиз 8 ;1;37,5;1;37,5;0,00;52,
259;5-й Орловской стрелковой дивиз 8 ;1;35,9;1;35,9;0,00;216,
260;5-й Орловской стрелковой дивиз 8 ;1;35,7;1;35,7;0,00;108,
261;5-й Орловской стрелковой дивиз 8 ;1;60,9;1;60,9;0,00;129,
262;5-й Орловской стрелковой дивиз 8 ;1;35,9;1;35,9;0,00;103,
263;5-й Орловской стрелковой дивиз 8 ;1;60,7;1;60,7;0,00;165,
264;5-й Орловской стрелковой дивиз 8 ;1;61,1;1;61,1;0,00;213,
265;5-й Орловской стрелковой дивиз 8 ;1;60,9;1;60,9;0,00;195,
266;5-й Орловской стрелковой дивиз 8 ;1;61,3;1;61,3;0,00;183,
267;6-й Орловской дивизии ул 11 ;190;10135,3;24;1297,7;12,80;5, 6, 12, 15, 22, 22.1, 34, 54, 64, 65, 73, 75, 85, 90, 92, 96, 133, 141, 141., 145, 148, 149, 159, 162
268;6-й Орловской дивизии ул 13 ;152;6882;16;757,4;11,01;1, 21, 27, 33, 34, 48, 82, 85, 88, 88.1, 88.2, 97, 103, 105, 109, 118
269;6-й Орловской дивизии ул 15 ;124;6623,7;14;779;11,76;1, 5, 30, 49, 51, 58, 59, 65.66, 79, 80, 82, 102, 103, 123
270;6-й Орловской дивизии ул 17 ;73;3157,7;11;541,6;17,15;8, 12, 15, 36, 40, 43, 44, 46, 55, 58, 60
271;6-й Орловской дивизии ул 19 ;90;3939,7;8;396,9;10,07;32, 48, 51, 52, 72, 74, 85, 87
272;6-й Орловской дивизии ул 21 ;92;4581,8;9;464;10,13;6, 12, 25, 33, 39, 46, 58, 65, 76
273;6-й Орловской дивизии ул 23 ;90;3966,07;9;419,3;10,57;1,39,55,70,82,84,85,88,90,
274;6-й Орловской дивизии ул 25 ;90;4336,7;7;301,1;7,78;9, 9.1, 16, 29, 44, 48, 78
275;6-й Орловской дивизии ул 25 ;;;1;36,3;;88
276;6-й Орловской дивизии ул 27 ;152;8091,2;1;49,7;0,61;30
277;60-летия Октября ул 13;1;110,7;0;0;0,00;
278;60-летия Октября ул 13 А;4;120,9;0;0;0,00;
279;60-летия Октября ул 14 ;69;3140,7;4;164,3;5,23;14,28,68,70,
280;60-летия Октября ул 15 ;4;135,2;0;0;0,00;
281;60-летия Октября ул 16 ;51;2301,3;4;200,1;8,70;3,4,6,12
282;60-летия Октября ул 17 ;67;3208,2;7;369,8;11,53;6, 18, 22, 43, 56, 60, 63
283;60-летия Октября ул 17 А;4;136;0;0;0,00;
284;60-летия Октября ул 18 ;70;3151,5;6;277,9;8,82;11, 18, 39, 47, 49, 63
285;60-летия Октября ул 20 ;70;3094,1;7;302,3;9,77;17, 18, 25, 36, 54, 60, 62
286;60-летия Октября ул 22 ;71;3128;2;123,4;3,95;35, 42
287;60-летия Октября ул 24 ;70;3138,9;6;283,5;9,03;2,9,14,17,50,51,
288;60-летия Октября ул 28 ;55;2336,7;3;116,8;5,00;11, 39, 53
289;60-летия Октября ул 9 ;134;7283,9;3;198,6;2,73;5,15,93,
290;7 Ноября ул 11 ;72;3142,8;3;139,7;4,45;1, 67, 68
291;7 Ноября ул 12 ;20;952,1;0;0;0,00;
292;7 Ноября ул 13 ;55;3617,5;2;142;3,93;17,52,
293;7 Ноября ул 15 ;40;2778,1;0;0;0,00;
294;7 Ноября ул 16 ;16;587,3;0;0;0,00;
295;7 Ноября ул 17 ;12;603,8;0;0;0,00;
296;7 Ноября ул 28 ;26;1991,9;0;0;0,00;
297;7 Ноября ул 3 ;10;246,7;3;68,2;27,64;3,4,16,
298;7 Ноября ул 41 ;12;498,5;0;0;0,00;
299;7 Ноября ул 45 ;18;1254,1;0;0;0,00;
300;7 Ноября ул 5 ;2;99,3;0;0;0,00;
301;7 Ноября ул 7 ;4;100,3;1;24;23,93;3.4,
302;7 Ноября ул 9 ;32;2982,4;0;0;0,00;
303;8 Марта ул 19 ;197;10972,9;1;60,7;0,55;70
304;8 Марта ул 21 ;145;7891,1;5;286,2;3,63;4, 8, 21, 39, 126
305;8 Марта ул 23 ;144;7809,7;0;0;0,00;
306;8 Марта ул 25 ;143;7761,5;0;0;0,00;
307;8 Марта ул 27 ;145;7799;7;349,2;4,48;15 (специализированный служебный жилищный фонд), 18, 35, 38, 43, 104, 107
308;8 Марта ул 34 ;3;136,1;0;0;0,00;
309;Абрамова и Соколова ул 3 ;115;5368;0;0;0,00;
310;Абрамова и Соколова ул 76 а;10;349,5;5;190,1;66,56;1,6,6.,8.,8,
311;Абрамова и Соколова ул 76 а;1;33;1;33;;4
312;Абрамова и Соколова ул 76 а;;;1;31,5;;5
313;Авиационная ул 2 ;218;11666,7;0;0;0,00;
314;Авиационная ул 6 ;220;11774;9;534,4;4,54;19, 36, 51, 64, 109, 116, 161, 170, 180
315;Авиационная ул 7 ;3;117,1;0;0;66,10;
316;Авиационная ул 7 ;;37,4;1;37,4;;57,
317;Авиационная ул 7 ;;40;1;40;;2,
318;Автовокзальная ул 10 ;8;392;0;0;0,00;
319;Автовокзальная ул 12 ;8;395,4;0;0;0,00;
320;Автовокзальная ул 14 ;8;386,9;0;0;0,00;
321;Автовокзальная ул 16 ;8;387,8;0;0;0,00;
322;Автовокзальная ул 18 ;8;381,9;0;0;0,00;
323;Автовокзальная ул 2 ;7;397,7;0;0;0,00;
324;Автовокзальная ул 20 ;8;336,3;0;0;0,00;
325;Автовокзальная ул 24 ;65;2542,3;3;117;4,60;3, 51, 64
326;Автовокзальная ул 26 ;64;2532,7;3;116;4,58;34, 35, 52
327;Автовокзальная ул 28 ;64;2554,5;2;63,3;2,48;1, 24,
328;Автовокзальная ул 30 ;32;1276,7;1;40,7;3,19;14,
329;Автовокзальная ул 36 ;32;1276;3;104,7;8,21;1,9,10,
330;Автовокзальная ул 38 ;21;833,06;0;0;0,00;
331;Автовокзальная ул 38 ;;29;0;0;0,00;
332;Автовокзальная ул 4 ;8;398,6;0;0;0,00;
333;Автовокзальная ул 40 ;4;166,1;0;0;0,00;
334;Автовокзальная ул 42 ;4;177,1;0;0;0,00;
335;Автовокзальная ул 44 ;4;230,7;0;0;0,00;
336;Автовокзальная ул 46 ;4;178,6;0;0;0,00;
337;Автовокзальная ул 48 ;4;216,13;0;0;0,00;
338;Автовокзальная ул 50 ;4;168,9;0;0;0,00;
339;Автовокзальная ул 6 ;10;397,4;0;0;0,00;
340;Автовокзальная ул 75 А;8;396,9;1;57,2;14,41;8,
341;Автовокзальная ул 77 А;111;6012,7;17;971,9;16,16;18, 28, 32, 46, 52, 53, 55, 58(специализированный служебный жилищный фонд), 71, 72, 79, 82, 86, 87, 99, 100, 102
342;Автовокзальная ул 8 ;10;395,1;0;0;0,00;
343;Автовокзальная ул 93 ;2;69,6;0;0;0,00;
344;Автовокзальная ул 95 ;16;648,2;3;96;14,81;1,5,12,
345;Автовокзальная ул 99 ;4;279,5;0;0;0,00;
346;Автовокзальная ул 101;1;59,8;0;0;0,00;
347;Автовокзальная ул 101;1;58,1;0;0;0,00;
348;Автогрейдерная ул 1 ;27;820,6;6;190,7;43,24;8, 9, 10, 13, 24, 32.33
349;Автогрейдерная ул 1 ;;;1;164,1;;4(30/164)
350;Автогрейдерная ул 11 ;16;424,3;1;24,8;5,84;15
351;Автогрейдерная ул 3 ;25;799,8;12;392,3;53,93;6,14,15,16,19.20,23.24,27,31,32.33,34,35,36,
352;Автогрейдерная ул 3 ;;;1;19,7;;к.2
353;Автогрейдерная ул 3 ;;;1;19,3;;к.12
354;Автогрейдерная ул 5 ;83;1587,7;11;177,8;17,76;11, 28, 36, 37, 63, 64, 67, 68, 78, 81, 97
355;Автогрейдерная ул 5 ;;;1;104,2;;9(13/104)
356;Автогрейдерная ул 7 ;29;821,3;9;297;54,29;2.3, 9, 12.13, 14, 15.16, 19, 22, 31, 32.33
357;Автогрейдерная ул 7 ;;;1;19,6;;36
358;Автогрейдерная ул 7 ;;;1;129,3;;3(26/130)
